
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   --- Yld ---
          Mkt   High    Low   High    Low   High    Low   High    Low
199509   3.19   1.85   3.26   4.13   2.96   0.94   3.55   1.99   2.63
199510   0.47  -1.03   2.21   3.51  -1.14  -2.56   0.85   0.74  -0.97
199511   0.77   1.56  -0.32   1.95   2.07   0.18  -0.25   0.13   0.70
199512   2.73   3.88   2.07   1.88   2.74   2.29   2.84   3.03   2.39
199601  -0.29  -0.30   0.47   1.33   0.15  -0.28  -0.34  -0.01  -0.14
199602   1.08   2.91   0.42   1.63   0.11   3.53   0.19   1.61   0.89
199603  -0.14   0.18  -1.49  -2.10   1.56   0.97   0.59  -1.54   2.84
199604   2.45   2.03   3.21   0.33   3.23   1.59   3.04   1.23   4.12
199605   1.43  -0.37   2.54   1.61   1.67  -1.37   2.62  -0.23   0.86
199606  -0.91  -2.84   0.12  -2.07   0.28  -3.04   0.23  -3.56   0.23
199607   0.26   0.63  -0.75   1.66  -1.27   0.73  -0.77   1.03  -2.61
199608   4.96   5.46   4.79   5.30   6.26   4.23   6.48   2.72   6.70
199609   2.35   1.41   3.02   1.91   2.98  -0.24   2.40   0.11   1.38
199610   4.72   2.83   4.35   5.49   4.54   1.50   3.82   3.17   5.09
199611   5.51   6.48   5.71   6.80   4.44   7.13   3.89   6.67   4.46
199612   3.58   4.73   3.23   4.63   1.69   5.44   1.15   6.18   2.58
199701  -2.95  -3.52  -3.47  -1.21  -4.51  -3.23  -3.44  -4.24  -4.43
199702   2.68   3.33   2.74   3.33   2.68   2.07   2.71   3.04   3.47
199703   1.04  -1.79   2.01  -0.19  -0.33   1.40   1.18   0.93   0.12
199704   1.24   1.15   1.24   3.61  -0.32   2.06   0.50   0.87  -0.19
199705   4.33   4.68   3.08   5.61   3.08   3.32   2.46   1.12   3.33
199706   1.73   1.80   2.68   1.79   0.35   3.77   1.56   1.98   1.50
199707   4.89   5.54   4.58   5.98   3.93   2.87   3.31   2.32   3.72
199708  -2.18   0.86  -1.42  -2.19  -2.96   1.66  -2.76   1.93  -4.11
199709   8.67   6.56   9.37   8.95   7.87   4.03   9.18   6.05   7.34
199710  -3.79   0.34  -3.40  -7.36  -1.99   1.23  -2.45   1.29  -3.04
199711   0.80   0.18  -0.03   2.27   2.32   3.39   1.70   2.60   2.49
199712   3.22   0.65   3.68   2.35   2.63   0.80   3.63   1.13   2.72
199801   4.78   5.98   5.28   1.78   5.09   4.99   2.44   4.81   6.07
199802   7.38   9.53   7.16  11.09   7.26   6.77   7.02   6.41   7.41
199803   5.16   4.52   3.81   5.98   3.40   8.82   5.45   7.66   4.45
199804   0.43  -1.39   2.02  -1.15   0.36   0.60   1.14   0.49   0.35
199805  -2.78  -1.23  -2.39  -6.76  -1.92  -0.61  -1.42  -3.04  -1.94
199806   0.96  -2.54   1.31  -1.72   1.23   3.16   2.87   2.96   2.90
199807  -1.66  -2.21  -2.79  -2.56  -2.83   4.39  -3.55   4.44  -1.89
199808  -8.46 -11.14  -5.47 -10.02  -7.02  -9.39  -7.28  -8.45  -7.54
199809  -1.26   3.38  -1.23  -1.10  -1.37  -0.71  -1.31   0.17  -4.46
199810   5.86  -0.60   6.40   5.91   5.42  -1.53   7.01   0.00   8.38
199811   3.77   0.31   3.98   5.92   2.76   3.16   1.73   3.25   3.91
199812   3.22   0.22   5.44   0.72   4.85   4.81   6.24   4.51   5.34
199901  -0.22  -2.94   1.50   1.03  -0.14  -1.84   1.82  -4.18   1.56
199902   2.57   7.27   1.03   5.12   1.63   9.51   1.44   5.55   0.87
