
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   --- Yld ---
          Mkt   High    Low   High    Low   High    Low   High    Low
199409  -3.93  -3.92  -3.63  -4.18  -3.46  -4.90  -2.22  -3.59  -3.19
199410   4.32   3.65   3.97   4.21   4.57   5.03   2.87   4.64   3.75
199411  -4.26  -5.08  -3.94  -4.16  -3.76  -5.55  -3.60  -4.24  -4.41
199412   0.51   0.23   1.14   1.14  -0.45   0.82   0.86   0.24   0.05
199501  -1.06  -1.58  -1.04  -0.62  -1.53   0.39  -1.09  -0.35  -1.49
199502   2.84   2.17   4.17   3.19   2.81   2.18   3.53   2.11   2.93
199503   3.79   3.31   5.13   3.76   4.28   2.50   5.46   4.23   3.88
199504   3.60   3.78   4.00   3.98   4.35   3.89   3.67   3.30   3.91
199505   2.08   2.97   1.19   2.58   1.96   2.18   1.46   2.60   1.91
199506   0.96   0.01   2.75   0.60   1.38   0.83   2.28   0.01   1.66
199507   4.68   4.56   4.30   5.57   5.67   6.11   5.08   2.77   5.98
199508  -3.53  -4.54  -2.55  -3.19  -3.63  -3.61  -2.88  -4.51  -3.16
199509   2.38   1.78   2.81   2.53   2.43   0.84   3.03   1.95   2.49
199510   0.55   0.25   1.18   2.61   0.21  -2.83   0.05   1.64  -1.21
199511   0.33   0.93  -0.53   1.10   0.78  -0.09  -0.80   0.23  -0.46
199512   3.65   3.73   3.78   2.94   3.86   3.80   3.50   3.90   2.97
199601   0.86   0.94   1.39   2.57   0.76   3.71   1.12   0.60   1.18
199602   1.76   2.42   1.66   3.01   1.22   3.12   2.31   1.60   2.03
199603   1.42   0.71   1.72   2.26   2.34  -0.03   3.27  -0.24   2.45
199604   1.10   1.30   0.80  -0.34   0.90   1.90   0.65   1.55   0.91
199605   0.96  -0.15   1.39   1.74   0.40   0.42   1.75   0.20   0.39
199606   0.70  -1.74   1.98   0.53   1.56  -1.44   1.92  -0.31   1.45
199607  -1.34  -1.21  -1.34  -1.85  -1.56  -3.27  -1.96  -0.33  -2.06
199608   2.28   2.72   2.12   2.85   3.00   2.91   3.01   1.73   3.09
199609   2.44   1.73   2.47   3.04   1.94   2.00   2.23   1.72   1.20
199610   1.99   1.41   1.53   1.72   1.60   1.00   0.98   2.35   1.65
199611   5.20   7.16   4.86   6.06   4.19   7.17   3.44   6.28   4.14
199612   2.39   2.45   2.30   2.48   1.23   3.55   1.59   3.67   1.90
199701  -0.29   0.15  -1.05   0.90  -1.38   1.41  -1.05  -0.05  -0.87
199702   1.51   2.60   1.15   2.37   1.44   1.14   1.34   1.95   1.82
199703   3.29   1.86   3.00   2.37   1.79   3.60   3.10   3.81   2.79
199704  -0.21  -1.20   0.17   0.56  -0.37   0.59   0.01  -1.11  -0.41
199705   3.94   4.89   3.11   3.86   2.81   4.12   2.15   3.69   3.35
